PPM,Date,Hour,Min,Sec,ms,# Pieces,Puzzle,Manufactorer,Attempt
2.9,2/15/2025,2,52,40,,500,Baskets,BigBen,1
6.5,2/15/2025,1,16,23,,500,Parisian Sunset,Unknown,1
6.8,2/20/2025,1,13,55,,500,Noodles for Lunch,Galison,1
2.7,2/21/2025,3,8,8,,500,Magnificent Mandalas,Ravensburger,1
4.9,2/27/2025,1,41,14,,500,Enchanted Christmas,Ravensburger,1
6.3,2/27/2025,1,19,45,,500,Enchanted Christmas,Ravensburger,2
6.4,2/28/2025,1,17,47,,500,Enchanted Christmas,Ravensburger,3
7.2,3/6/2025,1,9,0,,500,London Postcard,Ravensburger,1
4.3,3/6/2025,1,56,28,,500,Rabbit Recital,Ravensburger,1
4.6,3/8/2025,1,49,17,,500,Here Comes Christmas,Ravensburger,1
5.8,3/8/2025,1,26,43,,500,Floral Reflections,Ravensburger,2
5.3,3/8/2025,1,33,29,,500,Circle of Colors: Insects,Ravensburger,1
5.9,3/13/2025,1,25,21,,500,Gradient,CB,1
7.8,3/14/2025,1,4,2,,500,Gradient,CB,2
6.1,3/14/2025,1,21,25,,500,Charles Wysock 03710,Buffalo,1
6.8,3/15/2025,1,13,56,,500,Buttons,Galison,1
7.1,3/16/2025,1,10,52,,500,Beside the Sea,Galison,1
6,3/16/2025,1,23,43,,500,Circle of Colors: Insects,Ravensburger,2
4.4,3/18/2025,1,54,53,,500,Magnificent Mandalas,Ravensburger,2
6.1,3/19/2025,1,21,28,,500,Here Comes Christmas,Ravensburger,2
3.6,3/20/2025,2,18,1,,500,Magnificent Mandalas,Ravensburger,3
5.3,3/21/2025,1,34,50,,500,Magnificent Mandalas,Ravensburger,4
5.6,3/22/2025,1,29,48,,500,Magnificent Mandalas,Ravensburger,5
6.8,3/25/2025,1,13,41,,500,London Postcard,Ravensburger,2
8,4/2/2025,1,2,48,,500,London Postcard,Ravensburger,3
6.3,4/7/2025,1,19,34,,500,Artisinal Eggs,Galison,1
8.4,4/8/2025,0,59,40,,500,Artisinal Eggs,Galison,2
4.8,4/8/2025,1,44,26,,500,Humming Bird,Eiyruru,1
4.3,4/9/2025,1,55,0,,500,Lakeside Heaven,Buffalo,1
4.4,4/10/2025,1,54,49,,500,Lakeside Heaven,Buffalo,2
5.1,4/11/2025,1,38,17,,500,Rabbit Recital,Ravensburger,2
4.3,4/11/2025,1,55,7,,500,Lakeside Heaven,Buffalo,3
5.8,4/11/2025,1,26,44,,500,Lakeside Heaven,Buffalo,4
9.4,4/12/2025,0,53,11,,500,Artisinal Eggs,Galison,3
7.7,4/13/2025,1,5,2,,500,Gulls Nest,Buffalo,3
6.3,4/14/2025,1,19,14,,500,Gradient,Unknown,3
4.9,4/16/2025,1,41,15,,500,Color Burst,Unknown,1
4.1,4/16/2025,2,1,55,,500,Flower Boutique,Ravensburger,1
