source,event_id,year,division,round,puzzle_pieces,time_limit_seconds,rank,competitor_name,origin,time_seconds,completed,pieces_completed
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,1,Kelly Walter Phoenix (Arizona),Phoenix (Arizona),2434.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,2,Hannah Doyle San Mateo (California),San Mateo (California),2449.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,3,Alice Rowe Boulder (Co),Boulder (Co),2535.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,4,Lauren Kautz Minneapolis (Mn),Minneapolis (Mn),2566.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,5,Emma Pan West Roxbury (Massachusetts),West Roxbury (Massachusetts),2577.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,6,Iryna Shvydchenko Toronto (Ontario),Toronto (Ontario),2593.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,7,Michaela Keener Lexington (Kentucky),Lexington (Kentucky),2595.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,8,Tiffany Medeiros Lowell (Massachusetts),Lowell (Massachusetts),2639.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,9,Jeanne Roiter Duvall (Washington),Duvall (Washington),2653.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,10,Mari Black Cambridge (Massachusetts),Cambridge (Massachusetts),2658.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,11,Grayson Shannon Norton (MA),Norton (MA),2668.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,12,Cathy Roiter Duvall (Washington),Duvall (Washington),2670.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,13,Hannah Scott Herndon (Virginia),Herndon (Virginia),2706.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,14,Emma Williamson (MA),(MA),2721.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,15,Hanna Sigler Normal (Il),Normal (Il),2756.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,16,Andrea Heistand Muskegon (Michigan),Muskegon (Michigan),2812.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,17,Kylie Ledingham Carmel (IN),Carmel (IN),2838.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,18,Simmie Berman Rockville (Maryland),Rockville (Maryland),2886.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,18,Andrea Kyle Saint Paul (Minnesota),Saint Paul (Minnesota),2886.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,20,Caryn Knill St Augustine (Florida),St Augustine (Florida),2889.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,21,Min-Yee Deng San Diego (Ca),San Diego (Ca),2915.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,22,Andrea Peng San Francisco (California),San Francisco (California),2929.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,23,Kyle Kossin Bountiful (Utah),Bountiful (Utah),2942.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,24,Beatrice Endler Portland (Or),Portland (Or),2951.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,25,Emily Chandran North Attleborough (Massachusetts),North Attleborough (Massachusetts),3023.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,26,Abby Patnoe San Diego (California),San Diego (California),3025.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,27,Jennifer Sipple Longmont (CO),Longmont (CO),3045.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,28,Jessica Streitz Philadelphia (Pa),Philadelphia (Pa),3048.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,29,Jasmine Lambert Abingdon (Va),Abingdon (Va),3062.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,30,Jessa Douglas Centralia (Wa),Centralia (Wa),3068.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,31,Trisha Siedlecki Walnut (California),Walnut (California),3083.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,32,Kim Knaub Loup City (NE),Loup City (NE),3084.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,33,Kate Yee Illinois,Illinois,3097.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,34,Katherine Dilks Haddonfield (New Jersey),Haddonfield (New Jersey),3104.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,35,Yvonne Feucht Burbank (California),Burbank (California),3105.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,36,Tally Klinefelter Lilburn (Georgia),Lilburn (Georgia),3108.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,37,Megan Jones Provo (Ut),Provo (Ut),3117.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,38,Mathew Nettlow Mableton (GA),Mableton (GA),3124.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,39,Dawne Rasmusson Prior Lake (Minnesota),Prior Lake (Minnesota),3126.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,39,Sarah Rowe Williamstown (Massachusetts),Williamstown (Massachusetts),3126.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,41,Nathan Biberdorf (Indiana),(Indiana),3135.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,42,Skye Vandeleest Santa Barbara (Ca),Santa Barbara (Ca),3136.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,43,Jenna Wyly Chevy Chase (MD),Chevy Chase (MD),3151.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,44,Maud Dias Highland Park (New Jersey),Highland Park (New Jersey),3161.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,45,Aloysia Larson Grand Forks (ND),Grand Forks (ND),3171.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,46,Kaitlyn McCluskie Toronto (On),Toronto (On),3188.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,47,Kelly Buhr Soquel (California),Soquel (California),3189.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,48,Sam Zucker Landenberg (Pennsylvania),Landenberg (Pennsylvania),3192.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,49,Christopher Nammour Palo Alto (CA),Palo Alto (CA),3196.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,50,"Eric Goulet Washington, Dc (Dc)","Washington, Dc (Dc)",3199.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,51,Chloe Glikbarg San Francisco (CA),San Francisco (CA),3202.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,52,Leslie Richardson Seattle (Wa),Seattle (Wa),3206.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,53,Jasper Lee Decatur (Georgia),Decatur (Georgia),3211.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,54,Edith Lewis Cincinnati (Oh),Cincinnati (Oh),3235.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,55,Diana Jaffe Millbrae (CA),Millbrae (CA),3236.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,55,Kevin Collins Flint (MI),Flint (MI),3236.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,57,Annabelle Platt (MA),(MA),3244.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,58,Margaret Long Duluth (GA),Duluth (GA),3245.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,59,Doug Ellwanger San Mateo (California),San Mateo (California),3260.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,60,Allie Arendell Honolulu (HI),Honolulu (HI),3262.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,61,Elizabeth Nelson Brooklyn Park (Mn),Brooklyn Park (Mn),3268.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,62,Jen Lunsford Efland (NC),Efland (NC),3303.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,63,Sammy Brownlow Westport (Ct),Westport (Ct),3304.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,64,Jessica Derby Minneapolis (Minnesota),Minneapolis (Minnesota),3315.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,65,Rose Barrett Columbus (OH),Columbus (OH),3330.0,True,
usajigsaw,usajpa_2025_individual,2025,individual,final,500,5400,66,Taylor Reed Rolla (MO),Rolla (MO),3331.0,True,
