source,event_id,year,division,round,rank,competitor_name,origin,time_seconds,completed,pieces_completed,puzzle_pieces,puzzle_brand,puzzle_name,finished_date,first_attempt,time_limit_seconds,team_members
wjpf,wjpc_2019_solo,2019,solo,final,1,Jana Hanzelková,"Brno, Czech Republic",2795.0,True,,500,,,2019-09-24,True,7200,
wjpf,wjpc_2019_solo,2019,solo,final,2,Mariusz Ślizewski,"Gniew (Tczew), Poland",3145.0,True,,500,,,2019-09-24,True,7200,
wjpf,wjpc_2019_solo,2019,solo,final,3,Katerina Novotna,"Prague, Czech Republic",3170.0,True,,500,,,2019-09-24,True,7200,
wjpf,wjpc_2019_solo,2019,solo,final,4,Sarah Mills,"Norwich (Norfolk), United Kingdom",3324.0,True,,500,,,2019-09-24,True,7200,
wjpf,wjpc_2019_solo,2019,solo,final,5,Ana Gil Luciano,"Madrid, Spain",3338.0,True,,500,,,2019-09-24,True,7200,
wjpf,wjpc_2019_solo,2019,solo,final,6,Catherine Valentin,"Bruxelles, France",3444.0,True,,500,,,2019-09-24,True,7200,
wjpf,wjpc_2019_solo,2019,solo,final,7,Maria Dolors Torra Torreguitart,"Sabadell (Barcelona), Spain",3445.0,True,,500,,,2019-09-24,True,7200,
wjpf,wjpc_2019_solo,2019,solo,final,8,Ángel Heras Salcedo,"Soria, Spain",3477.0,True,,500,,,2019-09-24,True,7200,
wjpf,wjpc_2019_solo,2019,solo,final,9,Laura Aranguren Sanz,"Obanos (Navarra), Spain",3535.0,True,,500,,,2019-09-24,True,7200,
wjpf,wjpc_2019_solo,2019,solo,final,10,Marina Radchenko,"Novosibirsk, Russia",3599.0,True,,500,,,2019-09-24,True,7200,
wjpf,wjpc_2019_solo,2019,solo,final,11,Fernando Iglesias Martín,"Sonseca (Toledo), Spain",3616.0,True,,500,,,2019-09-24,True,7200,
wjpf,wjpc_2019_solo,2019,solo,final,12,Dmitry Makarenko,"Moscow, Russia",3631.0,True,,500,,,2019-09-24,True,7200,
wjpf,wjpc_2019_solo,2019,solo,final,13,Irina Batalova,"Novosibirsk, Russia",3648.0,True,,500,,,2019-09-24,True,7200,
wjpf,wjpc_2019_solo,2019,solo,final,14,Rocío Escribano Granados,"Aranjuez (Madrid), Spain",3688.0,True,,500,,,2019-09-24,True,7200,
